name,open,last_count,percent_occupied,last_updated
Will Vill - Main Weight Room,True,22,62.857142857143,2024-09-03 22:41:00
Rec Center Main Weight Room,True,85,62.962962962963,2024-09-04 21:23:00
1st Floor Stretching/Ab Area,True,12,34.285714285714,2024-09-04 21:23:00
Climbing Gym,True,25,50,2024-09-04 18:50:00
Buffalo Pool,False,0,0,2024-09-04 19:31:00
Rec Center Weight Room Annex,True,33,44,2024-09-04 21:23:00
Mat Room Medium,True,3,10,2024-09-04 21:23:00
Will Vill - Lobby Cardio,True,0,0,2024-09-03 22:41:00
Base Training 1 (F45),True,3,6.8181818181818,2024-09-04 21:23:00
Base Training 2 (Crossfit),True,3,17.647058823529,2024-09-04 21:23:00
Competition Pool,True,3,1.5,2024-09-04 21:00:00
Mat Room,False,0,0,2024-09-04 21:23:00
Will Vill - Multipurpose Room,True,1,1.25,2024-09-03 22:41:00
Studio 4,True,0,0,2024-09-04 19:39:00
Dive Well,True,11,7.3333333333333,2024-09-04 21:00:00
Studio 3,True,1,2.5,2024-09-04 19:39:00
Tennis Court 1,False,0,0,2024-08-16 11:14:00
Tennis Court 2,False,0,0,2024-08-21 15:22:00
Tennis Court 3,False,0,0,2024-08-21 15:22:00
Racquetball Court 1,True,1,8.3333333333333,2024-09-04 18:50:00
Racquetball Court 2,True,1,8.3333333333333,2024-09-04 18:50:00
Will Vill - 2nd Floor Cardio Balcony,True,1,33.333333333333,2024-09-03 22:41:00
Will Vill - Ab Room,True,0,0,2024-09-03 22:41:00
Cycle Studio,True,0,0,2024-09-04 19:39:00
2nd Floor Overlook Cardio Equipment,True,0,0,2024-08-26 11:07:00
Track Strength&Cardio,True,5,20,2024-09-04 21:23:00
Will Vill - 2nd Floor TRX Room,True,2,25,2024-09-03 22:41:00
Turf Gym,True,3,6,2024-09-04 21:23:00
Slam Ball (Brick Wall) Room,True,1,4,2024-08-26 11:07:00
2nd Floor Basketball Cardio,True,5,50,2024-09-04 21:23:00
Ice Rink,True,30,15,2024-09-04 18:50:00
Ping Pong Lounge,True,4,40,2024-09-04 18:50:00
Pool Overlook Cardio,True,12,23.076923076923,2024-09-04 21:23:00
Upper Gym,True,45,9,2024-09-04 18:50:00
Studio 2,True,3,3.75,2024-09-04 21:23:00
Studio 4,True,3,3,2024-09-04 18:51:00
Lower Gym,True,65,13,2024-09-04 18:51:00
Fitness Court,True,3,10,2024-09-04 21:23:00
Studio 1,True,25,33.333333333333,2024-09-04 21:23:00
Front Lobby Cardio (Green Zone),True,15,40.540540540541,2024-09-04 21:23:00
3rd Floor Functional Training,True,29,38.666666666667,2024-09-04 21:23:00
Mind Body Studio,True,3,6.6666666666667,2024-09-04 21:23:00
Rockwall Overlook,True,12,26.666666666667,2024-09-04 21:23:00
Basketball Overlook,True,4,16,2024-09-04 21:23:00
