name,open,last_count,percent_occupied,last_updated
Will Vill - Main Weight Room,True,26,74.285714285714,2024-09-24 21:36:00
Rec Center Main Weight Room,True,36,26.666666666667,2024-09-29 21:26:00
1st Floor Stretching/Ab Area,True,6,17.142857142857,2024-09-29 21:26:00
Climbing Gym,True,13,26,2024-09-29 20:36:00
Buffalo Pool,True,0,0,2024-09-29 17:31:00
Rec Center Weight Room Annex,True,17,22.666666666667,2024-09-29 21:26:00
Mat Room Medium,True,2,6.6666666666667,2024-09-29 21:26:00
Will Vill - Lobby Cardio,True,1,20,2024-09-24 21:36:00
Base Training 1 (F45),True,0,0,2024-09-29 21:26:00
Base Training 2 (Crossfit),True,0,0,2024-09-29 21:26:00
Competition Pool,True,1,0.5,2024-09-29 18:00:00
Mat Room,True,1,2.5,2024-09-29 21:26:00
Will Vill - Multipurpose Room,True,2,2.5,2024-09-24 21:36:00
Studio 4,True,0,0,2024-09-29 21:26:00
Dive Well,True,0,0,2024-09-29 18:00:00
Studio 3,True,0,0,2024-09-29 21:26:00
Tennis Court 1,True,2,16.666666666667,2024-09-29 20:36:00
Tennis Court 2,True,2,16.666666666667,2024-09-29 20:36:00
Tennis Court 3,True,8,66.666666666667,2024-09-29 20:36:00
Racquetball Court 1,True,0,0,2024-09-29 20:36:00
Racquetball Court 2,True,2,16.666666666667,2024-09-29 20:36:00
Will Vill - 2nd Floor Cardio Balcony,True,0,0,2024-09-24 21:36:00
Will Vill - Ab Room,True,1,12.5,2024-09-24 21:36:00
Cycle Studio,True,0,0,2024-09-29 21:26:00
2nd Floor Overlook Cardio Equipment,True,0,0,2024-08-26 11:07:00
Track Strength&Cardio,True,6,24,2024-09-29 21:26:00
Will Vill - 2nd Floor TRX Room,True,1,12.5,2024-09-24 21:36:00
Turf Gym,True,14,28,2024-09-29 21:26:00
Slam Ball (Brick Wall) Room,True,1,4,2024-08-26 11:07:00
2nd Floor Basketball Cardio,True,1,10,2024-09-29 21:26:00
Ice Rink,True,22,11,2024-09-29 20:36:00
Ping Pong Lounge,True,0,0,2024-09-29 20:36:00
Pool Overlook Cardio,True,7,13.461538461538,2024-09-29 21:26:00
Upper Gym,True,17,3.4,2024-09-29 20:36:00
Studio 2,True,3,3.75,2024-09-29 21:26:00
Studio 4,True,1,1,2024-09-29 20:36:00
Lower Gym,True,31,6.2,2024-09-29 20:36:00
Fitness Court,True,0,0,2024-09-29 21:26:00
Studio 1,True,1,1.3333333333333,2024-09-29 21:26:00
Front Lobby Cardio (Green Zone),True,6,16.216216216216,2024-09-29 21:26:00
3rd Floor Functional Training,True,20,26.666666666667,2024-09-29 21:26:00
Mind Body Studio,True,1,2.2222222222222,2024-09-29 21:26:00
Rockwall Overlook,True,14,31.111111111111,2024-09-29 21:26:00
Basketball Overlook,True,1,4,2024-09-29 21:26:00
