name,open,last_count,percent_occupied,last_updated
Will Vill - Main Weight Room,True,21,60,2024-09-17 22:38:00
Rec Center Main Weight Room,True,65,48.148148148148,2024-09-17 21:38:00
1st Floor Stretching/Ab Area,True,8,22.857142857143,2024-09-17 21:38:00
Climbing Gym,True,32,64,2024-09-17 21:36:00
Buffalo Pool,True,0,0,2024-09-17 16:31:00
Rec Center Weight Room Annex,True,25,33.333333333333,2024-09-17 21:38:00
Mat Room Medium,True,1,3.3333333333333,2024-09-17 21:38:00
Will Vill - Lobby Cardio,True,0,0,2024-09-17 22:38:00
Base Training 1 (F45),True,0,0,2024-09-17 21:38:00
Base Training 2 (Crossfit),True,0,0,2024-09-17 21:38:00
Competition Pool,True,0,0,2024-09-17 22:00:00
Mat Room,True,6,15,2024-09-17 21:38:00
Will Vill - Multipurpose Room,True,4,5,2024-09-17 22:38:00
Studio 4,True,0,0,2024-09-17 21:38:00
Dive Well,True,0,0,2024-09-17 22:00:00
Studio 3,True,1,2.5,2024-09-17 21:38:00
Tennis Court 1,True,4,33.333333333333,2024-09-17 21:36:00
Tennis Court 2,True,4,33.333333333333,2024-09-17 18:39:00
Tennis Court 3,True,4,33.333333333333,2024-09-17 21:36:00
Racquetball Court 1,True,2,16.666666666667,2024-09-17 21:36:00
Racquetball Court 2,True,2,16.666666666667,2024-09-17 21:36:00
Will Vill - 2nd Floor Cardio Balcony,True,1,33.333333333333,2024-09-17 22:38:00
Will Vill - Ab Room,True,0,0,2024-09-17 22:38:00
Cycle Studio,False,0,0,2024-09-17 16:54:00
2nd Floor Overlook Cardio Equipment,True,0,0,2024-08-26 11:07:00
Track Strength&Cardio,True,8,32,2024-09-17 21:38:00
Will Vill - 2nd Floor TRX Room,True,0,0,2024-09-17 22:38:00
Turf Gym,True,15,30,2024-09-17 21:38:00
Slam Ball (Brick Wall) Room,True,1,4,2024-08-26 11:07:00
2nd Floor Basketball Cardio,True,3,30,2024-09-17 21:38:00
Ice Rink,True,18,9,2024-09-17 21:36:00
Ping Pong Lounge,True,4,40,2024-09-17 21:36:00
Pool Overlook Cardio,True,9,17.307692307692,2024-09-17 21:38:00
Upper Gym,True,42,8.4,2024-09-17 21:36:00
Studio 2,True,9,11.25,2024-09-17 21:38:00
Studio 4,True,0,0,2024-09-17 21:36:00
Lower Gym,True,42,8.4,2024-09-17 21:36:00
Fitness Court,True,0,0,2024-09-17 21:38:00
Studio 1,True,2,2.6666666666667,2024-09-17 21:38:00
Front Lobby Cardio (Green Zone),True,9,24.324324324324,2024-09-17 21:38:00
3rd Floor Functional Training,True,30,40,2024-09-17 21:38:00
Mind Body Studio,True,6,13.333333333333,2024-09-17 21:38:00
Rockwall Overlook,True,27,60,2024-09-17 21:38:00
Basketball Overlook,True,6,24,2024-09-17 21:38:00
